"ID","Year","Tax.Type","NAICS","Total.Taxable","Units","City"
200,"2020 Annual","Sales","All NAICS","$78,824,472","5,098","Unincorporated Asotin County"
200,"2019 Quarter 4","Sales","All NAICS","$18,967,525","2,700","Unincorporated Asotin County"
200,"2019 Quarter 3","Sales","All NAICS","$20,177,209","2,317","Unincorporated Asotin County"
200,"2019 Quarter 2","Sales","All NAICS","$18,680,637","2,182","Unincorporated Asotin County"
200,"2019 Quarter 1","Sales","All NAICS","$14,975,028","1,942","Unincorporated Asotin County"
200,"2019 Annual","Sales","All NAICS","$72,729,344","4,070","Unincorporated Asotin County"
200,"2018 Quarter 4","Sales","All NAICS","$17,813,482","2,008","Unincorporated Asotin County"
200,"2018 Quarter 3","Sales","All NAICS","$15,129,945","1,516","Unincorporated Asotin County"
200,"2018 Quarter 2","Sales","All NAICS","$15,578,698","1,461","Unincorporated Asotin County"
200,"2018 Quarter 1","Sales","All NAICS","$12,372,420","1,382","Unincorporated Asotin County"
200,"2018 Annual","Sales","All NAICS","$60,862,426","2,992","Unincorporated Asotin County"
200,"2017 Quarter 4","Sales","All NAICS","$12,834,222","1,966","Unincorporated Asotin County"
200,"2017 Quarter 3","Sales","All NAICS","$14,085,274","1,554","Unincorporated Asotin County"
200,"2017 Quarter 2","Sales","All NAICS","$15,177,905","1,465","Unincorporated Asotin County"
200,"2017 Quarter 1","Sales","All NAICS","$11,548,470","1,284","Unincorporated Asotin County"
200,"2017 Annual","Sales","All NAICS","$53,645,871","2,942","Unincorporated Asotin County"
200,"2016 Quarter 4","Sales","All NAICS","$13,453,336","1,437","Unincorporated Asotin County"
200,"2016 Quarter 3","Sales","All NAICS","$12,714,309","1,138","Unincorporated Asotin County"
200,"2016 Quarter 2","Sales","All NAICS","$12,088,142","1,142","Unincorporated Asotin County"
200,"2016 Quarter 1","Sales","All NAICS","$10,630,880","1,121","Unincorporated Asotin County"
200,"2016 Annual","Sales","All NAICS","$48,886,667","2,236","Unincorporated Asotin County"
200,"2015 Quarter 4","Sales","All NAICS","$12,246,187","1,243","Unincorporated Asotin County"
200,"2015 Quarter 3","Sales","All NAICS","$12,119,344","1,058","Unincorporated Asotin County"
200,"2015 Quarter 2","Sales","All NAICS","$11,087,516","964","Unincorporated Asotin County"
200,"2015 Quarter 1","Sales","All NAICS","$9,758,538","948","Unincorporated Asotin County"
200,"2015 Annual","Sales","All NAICS","$45,211,585","1,880","Unincorporated Asotin County"
201,"2022 Quarter 3","Sales","All NAICS","$3,014,711","1,194","Asotin City"
201,"2022 Quarter 2","Sales","All NAICS","$2,995,470","1,242","Asotin City"
201,"2022 Quarter 1","Sales","All NAICS","$3,132,044","1,218","Asotin City"
201,"2021 Quarter 4","Sales","All NAICS","$2,802,863","1,392","Asotin City"
201,"2021 Quarter 3","Sales","All NAICS","$2,920,139","1,222","Asotin City"
201,"2021 Quarter 2","Sales","All NAICS","$2,684,067","1,209","Asotin City"
201,"2021 Quarter 1","Sales","All NAICS","$2,720,148","1,201","Asotin City"
201,"2021 Annual","Sales","All NAICS","$11,120,583","2,399","Asotin City"
201,"2020 Quarter 4","Sales","All NAICS","$3,120,294","1,218","Asotin City"
